timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, motor1, motor2, motor3, motor4, yaw, laserFront
115027, 0.0, 0.0, -19.826099395751953, 0.0, 0.0, 0.5052566528320312, 0.0, 0.0, 0.0, 0.0, -1.7042121887207031, 323.0
115047, 0.0, 0.0, -19.80862808227539, 0.0, 0.0, 0.8275985717773438, 0.0, 0.0, 0.0, 0.0, -1.7058944702148438, 323.0
115067, 0.0, 0.0, -19.79032325744629, 0.0, 0.0, 0.8670806884765625, 0.0, 0.0, 0.0, 0.0, -1.705067753791809, 317.0
115087, 0.0, 0.0, -19.781208038330078, 0.0, 0.0, 0.43182373046875, 0.0, 0.0, 0.0, 0.0, -1.7046113014221191, 317.0
115107, 0.0, 0.0, -19.775903701782227, 0.0, 0.0, 0.25119781494140625, 0.0, 0.0, 0.0, 0.0, -1.7045533657073975, 317.0
115127, 0.0, 0.0, -19.76121711730957, 0.0, 0.0, 0.6956100463867188, 0.0, 0.0, 0.0, 0.0, -1.7030789852142334, 317.0
115147, 0.0, 0.0, -19.750879287719727, 0.0, 0.0, 0.48961639404296875, 0.0, 0.0, 0.0, 0.0, -1.7030789852142334, 317.0
115207, 0.0, 0.0, -19.7528018951416, 0.0, 0.0, -0.06618499755859375, 0.0, 0.0, 0.0, 0.0, -1.703912615776062, 325.0
115247, 0.0, 0.0, -19.744136810302734, 0.0, 0.0, 0.41484832763671875, 0.0, 0.0, 0.0, 0.0, -1.706393837928772, 325.0
115307, 0.0, 0.0, -19.71710205078125, 0.0, 0.0, 0.8131027221679688, 0.0, 0.0, 0.0, 0.0, -1.7077759504318237, 32766.0
115327, 0.0, 0.0, -19.701641082763672, 0.0, 0.0, 0.732421875, 0.0, 0.0, 0.0, 0.0, -1.7067241668701172, 32766.0
115347, 0.0, 0.0, -19.71561050415039, 0.0, 0.0, -0.6616592407226562, 0.0, 0.0, 0.0, 0.0, -1.7067241668701172, 32766.0
115367, 0.0, 0.0, -19.732120513916016, 0.0, 0.0, -0.782012939453125, 0.0, 0.0, 0.0, 0.0, -1.7076945304870605, 326.0
115387, 0.0, 0.0, -19.749128341674805, 0.0, 0.0, -0.8056640625, 0.0, 0.0, 0.0, 0.0, -1.7065403461456299, 326.0
115407, 0.0, 0.0, -19.780048370361328, 0.0, 0.0, -1.4646530151367188, 0.0, 0.0, 0.0, 0.0, -1.7073156833648682, 326.0
115427, 0.0, 0.0, -19.801977157592773, 0.0, 0.0, -1.0387420654296875, 0.0, 0.0, 0.0, 0.0, -1.7074798345565796, 326.0
115467, 0.0, 0.0, -19.803964614868164, 0.0, 0.0, 0.10738372802734375, 0.0, 0.0, 0.0, 0.0, -1.7092546224594116, 330.0
115487, 0.0, 0.0, -19.804725646972656, 0.0, 0.0, -0.03604888916015625, 0.0, 0.0, 0.0, 0.0, -1.7092546224594116, 330.0
115507, 0.0, 0.0, -19.81105613708496, 0.0, 0.0, -0.299835205078125, 0.0, 0.0, 0.0, 0.0, -1.7092546224594116, 330.0
115527, 0.0, 0.0, -19.801118850708008, 0.0, 0.0, 0.470733642578125, 0.0, 0.0, 0.0, 0.0, -1.7092546224594116, 330.0
