timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3
959288, 157627.375, 118934.265625, 157758.421875, 155364.1875, 143899.34375, 154268.84375
959307, 157633.140625, 118934.265625, 157760.34375, 155369.171875, 143901.796875, 154258.90625
959327, 157635.078125, 118935.75, 157760.34375, 155366.6875, 143904.25, 154271.328125
959348, 157631.21875, 118929.8359375, 157758.421875, 155360.53125, 143905.328125, 154261.390625
959367, 157629.296875, 118922.453125, 157758.421875, 155364.1875, 143906.015625, 154271.328125
959387, 157631.21875, 118931.3203125, 157760.34375, 155367.265625, 143895.125, 154268.84375
959407, 157631.21875, 118927.6171875, 157756.484375, 155359.765625, 143898.65625, 154262.59375
959427, 157631.21875, 118933.53125, 157762.28125, 155368.59375, 143904.25, 154265.765625
959448, 157629.296875, 118923.1875, 157756.484375, 155366.09375, 143898.65625, 154256.421875
959467, 157631.21875, 118925.3984375, 157760.34375, 155368.59375, 143896.890625, 154263.28125
959488, 157629.296875, 118923.921875, 157758.421875, 155359.1875, 143899.34375, 154269.453125
959507, 157633.140625, 118929.8359375, 157760.34375, 155368.59375, 143906.703125, 154266.359375
959528, 157633.140625, 118928.3515625, 157762.28125, 155368.59375, 143903.5625, 154260.109375
959549, 157633.140625, 118932.0546875, 157756.484375, 155366.6875, 143903.5625, 154265.765625
959567, 157629.296875, 118929.1015625, 157760.34375, 155370.515625, 143901.796875, 154272.609375
959589, 157627.375, 118935.015625, 157758.421875, 155368.59375, 143896.890625, 154266.96875
959609, 157633.140625, 118932.0546875, 157760.34375, 155371.671875, 143904.25, 154266.359375
959628, 157631.21875, 118928.3671875, 157758.421875, 155366.6875, 143895.125, 154258.90625
959649, 157631.21875, 118927.6171875, 157758.421875, 155370.515625, 143903.5625, 154273.21875
959667, 157629.296875, 118931.3203125, 157760.34375, 155366.6875, 143902.875, 154266.359375
959687, 157629.296875, 118923.1875, 157760.34375, 155376.09375, 143894.4375, 154263.875
959707, 157635.078125, 118929.8359375, 157758.421875, 155364.1875, 143904.25, 154266.359375
