timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, yaw
38379, 157690.921875, 118379.0703125, 157806.671875, 155318.03125, 143322.171875, 153907.71875, -0.29032284021377563
38399, 157690.921875, 118372.421875, 157810.546875, 155331.859375, 143316.203125, 153917.046875, -0.2895802855491638
38419, 157689.0, 118375.375, 157808.609375, 155323.03125, 143309.921875, 153922.015625, -0.28876084089279175
38439, 157685.140625, 118377.59375, 157812.46875, 155320.53125, 143320.40625, 153915.171875, -0.2896692156791687
38459, 157685.140625, 118382.7578125, 157804.75, 155323.609375, 143320.40625, 153918.9375, -0.29117751121520996
38479, 157687.078125, 118370.9453125, 157806.671875, 155321.109375, 143313.0625, 153912.078125, -0.2912452518939972
38499, 157685.140625, 118377.59375, 157808.609375, 155321.109375, 143313.0625, 153912.078125, -0.29131990671157837
38519, 157690.921875, 118385.7109375, 157812.46875, 155321.109375, 143327.0625, 153912.078125, -0.29171285033226013
38539, 157685.140625, 118382.015625, 157810.546875, 155323.03125, 143321.484375, 153919.53125, -0.2928801476955414
38559, 157689.0, 118374.640625, 157808.609375, 155319.1875, 143324.625, 153921.421875, -0.2923128306865692
38579, 157687.078125, 118379.0703125, 157810.546875, 155320.53125, 143323.921875, 153920.140625, -0.2934073209762573
38599, 157689.0, 118379.0703125, 157808.609375, 155327.4375, 143313.75, 153916.453125, -0.29354327917099
38619, 157685.140625, 118383.4921875, 157812.46875, 155322.4375, 143314.4375, 153922.015625, -0.29293423891067505
38639, 157685.140625, 118379.8046875, 157810.546875, 155318.609375, 143322.859375, 153912.078125, -0.29340243339538574
38659, 157687.078125, 118382.7578125, 157806.671875, 155326.109375, 143315.515625, 153913.96875, -0.2930275797843933
38679, 157689.0, 118371.6875, 157810.546875, 155318.03125, 143322.859375, 153919.53125, -0.2920173108577728
38699, 157687.078125, 118375.375, 157810.546875, 155323.03125, 143315.515625, 153917.046875, -0.29239410161972046
38719, 157689.0, 118384.96875, 157808.609375, 155321.109375, 143313.75, 153907.71875, -0.2933245003223419
38739, 157685.140625, 118385.7109375, 157812.46875, 155316.109375, 143321.484375, 153910.203125, -0.29374951124191284
38759, 157687.078125, 118380.5390625, 157812.46875, 155315.53125, 143324.625, 153910.8125, -0.2924445867538452
38779, 157689.0, 118376.8515625, 157808.609375, 155318.609375, 143319.71875, 153922.015625, -0.2922355532646179
38799, 157687.078125, 118385.7109375, 157810.546875, 155323.03125, 143316.203125, 153910.203125, -0.29243966937065125
38819, 157689.0, 118384.96875, 157810.546875, 155320.53125, 143321.09375, 153919.53125, -0.2919568419456482
38839, 157685.140625, 118372.421875, 157810.546875, 155316.703125, 143323.234375, 153922.015625, -0.2924415171146393
38859, 157689.0, 118373.1640625, 157810.546875, 155324.1875, 143322.171875, 153914.5625, -0.2925754189491272
38879, 157685.140625, 118379.0703125, 157810.546875, 155318.609375, 143322.171875, 153912.078125, -0.2929418087005615
38899, 157687.078125, 118382.7578125, 157806.671875, 155313.625, 143319.71875, 153914.5625, -0.29337170720100403
38919, 157687.078125, 118381.28125, 157810.546875, 155319.953125, 143321.09375, 153917.046875, -0.29354074597358704
38939, 157685.140625, 118376.8515625, 157806.671875, 155319.953125, 143321.09375, 153917.046875, -0.2940519154071808
38959, 157687.078125, 118376.8515625, 157806.671875, 155320.53125, 143322.859375, 153915.78125, -0.29455071687698364
38979, 157683.21875, 118377.59375, 157810.546875, 155323.03125, 143322.171875, 153920.140625, -0.29608631134033203
38999, 157685.140625, 118383.4921875, 157810.546875, 155325.515625, 143319.71875, 153918.9375, -0.2943268120288849
39019, 157692.859375, 118377.59375, 157810.546875, 155320.53125, 143317.953125, 153909.609375, -0.2960205078125
39039, 157689.0, 118382.015625, 157808.609375, 155318.03125, 143321.09375, 153923.296875, -0.2970530390739441
39059, 157685.140625, 118382.015625, 157808.609375, 155311.125, 143318.65625, 153922.625, -0.2964079976081848
39079, 157687.078125, 118377.59375, 157808.609375, 155324.9375, 143313.75, 153915.171875, -0.29451984167099
39099, 157685.140625, 118386.4453125, 157810.546875, 155318.609375, 143322.859375, 153918.9375, -0.2965877652168274
39119, 157687.078125, 118373.1640625, 157808.609375, 155318.609375, 143322.859375, 153918.9375, -0.2976309359073639
39139, 157685.140625, 118391.609375, 157812.46875, 155325.515625, 143324.234375, 153924.5, -0.2966460585594177
39159, 157689.0, 118375.375, 157808.609375, 155316.109375, 143317.953125, 153915.171875, -0.2976706326007843
39179, 157689.0, 118379.8046875, 157808.609375, 155320.53125, 143316.203125, 153926.390625, -0.29846999049186707
39199, 157685.140625, 118380.5390625, 157808.609375, 155323.609375, 143325.3125, 153914.5625, -0.2972322702407837
39219, 157685.140625, 118373.1640625, 157810.546875, 155323.609375, 143321.09375, 153914.5625, -0.2971833646297455
39239, 157685.140625, 118375.375, 157812.46875, 155327.4375, 143319.71875, 153931.34375, -0.295932799577713
39259, 157687.078125, 118375.375, 157810.546875, 155306.125, 143328.453125, 153912.6875, -0.29503485560417175
39279, 157681.296875, 118381.28125, 157808.609375, 155311.125, 143318.65625, 153923.90625, -0.2947838008403778
39299, 157687.078125, 118377.59375, 157808.609375, 155313.625, 143332.65625, 153917.046875, -0.29675784707069397
39319, 157685.140625, 118380.5390625, 157810.546875, 155324.9375, 143325.3125, 153912.078125, -0.29618892073631287
39339, 157687.078125, 118381.28125, 157810.546875, 155318.03125, 143322.859375, 153923.90625, -0.2964778542518616
39359, 157687.078125, 118379.8046875, 157810.546875, 155325.515625, 143322.859375, 153917.046875, -0.29544535279273987
39379, 157689.0, 118380.5390625, 157810.546875, 155318.03125, 143326.375, 153923.90625, -0.2976650893688202
39399, 157690.921875, 118379.8046875, 157810.546875, 155318.03125, 143327.75, 153915.78125, -0.29787084460258484
39419, 157687.078125, 118383.4921875, 157810.546875, 155311.703125, 143322.171875, 153915.84375, -0.29626184701919556
39439, 157687.078125, 118379.0703125, 157806.671875, 155320.53125, 143323.546875, 153920.140625, -0.296002596616745
39459, 157689.0, 118384.234375, 157810.546875, 155327.4375, 143322.859375, 153910.203125, -0.2949013113975525
39479, 157687.078125, 118376.8515625, 157806.671875, 155323.03125, 143321.09375, 153915.78125, -0.2950211465358734
