timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, stateROLL, statePITCH, stateYAW, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
799735, 0.19244328141212463, -1.0899478197097778, -0.010518701747059822, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48009.0, 51865.0, 52184.0, 49338.0, 0.5098438262939453, -1.4031533002853394, 0.4961622357368469, 0.062341175973415375, -0.02017006278038025, 0.0434095673263073
799745, 0.18676382303237915, -1.120568871498108, 0.0003988399694208056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51705.0, 46696.0, 48245.0, 53840.0, 0.5114806294441223, -1.4021317958831787, 0.49727731943130493, 0.06790879368782043, -0.01622084155678749, 0.05024966225028038
799755, 0.17682106792926788, -1.1849262714385986, 0.01002837810665369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48427.0, 51399.0, 52046.0, 49826.0, 0.5129878520965576, -1.4012480974197388, 0.4964088201522827, 0.07313231378793716, -0.012679316103458405, 0.04371289908885956
799765, 0.16316533088684082, -1.196912169456482, 0.014844056218862534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50249.0, 49300.0, 49901.0, 51584.0, 0.514211893081665, -1.400965929031372, 0.49720054864883423, 0.0767962858080864, -0.011726097203791142, 0.04651349410414696
799775, 0.14243336021900177, -1.2286289930343628, 0.0018211249262094498, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50039.0, 44795.0, 49314.0, 55424.0, 0.5154122114181519, -1.4006876945495605, 0.49801287055015564, 0.08048520237207413, -0.010722330771386623, 0.04855920746922493
799786, 0.16923213005065918, -1.248022198677063, -0.0032353135757148266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48274.0, 48009.0, 50896.0, 52990.0, 0.5166178345680237, -1.4004679918289185, 0.4988079071044922, 0.0839817151427269, -0.010002091526985168, 0.04946315288543701
799795, 0.1972169429063797, -1.2357343435287476, -0.0046701147221028805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50780.0, 49854.0, 48609.0, 51021.0, 0.5176820158958435, -1.4002054929733276, 0.4987720549106598, 0.08683030307292938, -0.008899984881281853, 0.04798925295472145
799805, 0.2505277395248413, -1.2482279539108276, -0.005570069421082735, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50357.0, 51400.0, 49060.0, 49564.0, 0.5187059640884399, -1.4001842737197876, 0.4993627667427063, 0.08971694856882095, -0.008800062350928783, 0.04909053072333336
799815, 0.2999924123287201, -1.2298009395599365, -0.013037598691880703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49978.0, 50811.0, 49416.0, 49720.0, 0.519875705242157, -1.3999747037887573, 0.5000816583633423, 0.09278170764446259, -0.008059348911046982, 0.052683357149362564
799825, 0.349123477935791, -1.2257966995239258, -0.01799529790878296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52613.0, 47961.0, 46633.0, 52167.0, 0.5209836959838867, -1.3997794389724731, 0.5008244514465332, 0.095634825527668, -0.007344723679125309, 0.05386180803179741
