timeTick, roll, pitch, yaw, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, ext_pos_X,ext_pos_Y,ext_pos_Z, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
741053, 0.12981048226356506, -1.2852784395217896, -1.663491129875183, 0, 0, 0, 50762.0, 49248.0, 44567.0, 51470.0, 0.0, 0.0, 0.0, -0.024559378623962402, -1.416833758354187, 0.5107139348983765, -0.0696360245347023, -0.0007326798513531685, 0.029623957350850105
741063, 0.14588837325572968, -1.288495421409607, -1.6742416620254517, 0, 0, 0, 44563.0, 48911.0, 50809.0, 51592.0, 0.0, 0.0, 0.0, -0.025292178615927696, -1.4167901277542114, 0.5094584822654724, -0.06742284446954727, -0.0008761968347243965, 0.022458458319306374
741073, 0.12177726626396179, -1.2277722358703613, -1.683911681175232, 0, 0, 0, 47224.0, 50257.0, 48643.0, 50916.0, 0.0, 0.0, 0.0, -0.025990024209022522, -1.416733980178833, 0.5098560452461243, -0.0653926357626915, -0.0007164253620430827, 0.023236574605107307
741083, 0.07195328921079636, -1.2211594581604004, -1.68352472782135, 0, 0, 0, 48791.0, 48284.0, 46552.0, 52638.0, 0.0, 0.0, 0.0, -0.026702672243118286, -1.4167568683624268, 0.510465145111084, -0.06354808807373047, -0.001109336270019412, 0.02955636940896511
741093, 0.03893889859318733, -1.2163387537002563, -1.6871559619903564, 0, 0, 0, 46591.0, 50426.0, 48799.0, 50447.0, 0.0, 0.0, 0.0, -0.027371421456336975, -1.4167511463165283, 0.511082112789154, -0.06183357909321785, -0.0014634727267548442, 0.03183058649301529
741103, 0.037124838680028915, -1.1875978708267212, -1.7069326639175415, 0, 0, 0, 50983.0, 47218.0, 43469.0, 53483.0, 0.0, 0.0, 0.0, -0.027989260852336884, -1.4167797565460205, 0.508288562297821, -0.0594833604991436, -0.0019117448246106505, 0.009581826627254486
741113, 0.024615302681922913, -1.2023687362670898, -1.7227283716201782, 0, 0, 0, 47867.0, 48513.0, 48094.0, 52991.0, 0.0, 0.0, 0.0, -0.028637325391173363, -1.4168198108673096, 0.5087220668792725, -0.05774083361029625, -0.0023335155565291643, 0.01491420716047287
741123, 0.04866699129343033, -1.175240159034729, -1.718827247619629, 0, 0, 0, 46420.0, 52871.0, 49422.0, 48333.0, 0.0, 0.0, 0.0, -0.029324091970920563, -1.416822910308838, 0.5092124342918396, -0.056309618055820465, -0.002304844558238983, 0.017596911638975143
741133, 0.05724239721894264, -1.1644753217697144, -1.721429467201233, 0, 0, 0, 51310.0, 46903.0, 44717.0, 53897.0, 0.0, 0.0, 0.0, -0.029894065111875534, -1.4168264865875244, 0.5095480680465698, -0.054346680641174316, -0.0023478190414607525, 0.017077654600143433
741143, 0.025113185867667198, -1.2377021312713623, -1.73438560962677, 0, 0, 0, 50505.0, 47080.0, 45105.0, 54098.0, 0.0, 0.0, 0.0, -0.030471038073301315, -1.416841745376587, 0.510021984577179, -0.05254639312624931, -0.0026398187037557364, 0.022626686841249466
741153, 0.05235128477215767, -1.2202417850494385, -1.7164653539657593, 0, 0, 0, 48808.0, 52026.0, 47661.0, 48588.0, 0.0, 0.0, 0.0, -0.031087517738342285, -1.4168331623077393, 0.5076425075531006, -0.05066709592938423, -0.0026114312931895256, 0.007781471125781536
741163, 0.09151517599821091, -1.2446485757827759, -1.7128384113311768, 0, 0, 0, 51041.0, 47532.0, 45433.0, 53908.0, 0.0, 0.0, 0.0, -0.031619373708963394, -1.4167993068695068, 0.5080479979515076, -0.048665788024663925, -0.0025605843402445316, 0.011706397868692875
741173, 0.1242530345916748, -1.282880425453186, -1.7186299562454224, 0, 0, 0, 43674.0, 53131.0, 52255.0, 48323.0, 0.0, 0.0, 0.0, -0.0321420393884182, -1.4168403148651123, 0.508334219455719, -0.04678001254796982, -0.0030638936441391706, 0.009056285955011845
741183, 0.1175730973482132, -1.2010287046432495, -1.7317038774490356, 0, 0, 0, 45493.0, 48577.0, 50565.0, 53507.0, 0.0, 0.0, 0.0, -0.03262713924050331, -1.4168187379837036, 0.5087863206863403, -0.04463054612278938, -0.003191233379766345, 0.00998007319867611
741193, 0.05366196110844612, -1.237128734588623, -1.737748146057129, 0, 0, 0, 50631.0, 48331.0, 45777.0, 53339.0, 0.0, 0.0, 0.0, -0.03316802531480789, -1.4167677164077759, 0.5070629119873047, -0.04298228397965431, -0.0031182577367872, 0.005728733725845814
741203, -0.02119321934878826, -1.1904852390289307, -1.7478220462799072, 0, 0, 0, 45950.0, 50807.0, 50041.0, 51780.0, 0.0, 0.0, 0.0, -0.033606529235839844, -1.4167852401733398, 0.5074694752693176, -0.040909748524427414, -0.003417952684685588, 0.010754508897662163
741213, -0.09870684146881104, -1.1342319250106812, -1.7501674890518188, 0, 0, 0, 49570.0, 46948.0, 46631.0, 54484.0, 0.0, 0.0, 0.0, -0.034077029675245285, -1.416839361190796, 0.5079096555709839, -0.039137788116931915, -0.0036238611210137606, 0.013178200460970402
741223, -0.14451982080936432, -1.1563589572906494, -1.7531269788742065, 0, 0, 0, 50075.0, 51402.0, 45879.0, 51011.0, 0.0, 0.0, 0.0, -0.03457704558968544, -1.4169741868972778, 0.5083264708518982, -0.037666548043489456, -0.004256102722138166, 0.014618064276874065
741233, -0.17347361147403717, -1.073155403137207, -1.7185286283493042, 0, 0, 0, 45920.0, 50194.0, 51070.0, 51027.0, 0.0, 0.0, 0.0, -0.03515490144491196, -1.4170403480529785, 0.5055726170539856, -0.036054253578186035, -0.003940337337553501, -0.004481191746890545
741243, -0.16666550934314728, -1.09451425075531, -1.7026888132095337, 0, 0, 0, 52478.0, 51133.0, 43027.0, 50520.0, 0.0, 0.0, 0.0, -0.03562178835272789, -1.4171106815338135, 0.5058614611625671, -0.034628450870513916, -0.003978766966611147, 0.0024110767990350723
741254, -0.13639068603515625, -1.0822830200195312, -1.7253504991531372, 0, 0, 0, 46738.0, 50692.0, 49641.0, 52006.0, 0.0, 0.0, 0.0, -0.03616919741034508, -1.4172043800354004, 0.5062332153320312, -0.033884283155202866, -0.00414836872369051, 0.00827273540198803
741263, -0.10965157300233841, -1.074350357055664, -1.7433680295944214, 0, 0, 0, 49258.0, 50465.0, 46986.0, 52566.0, 0.0, 0.0, 0.0, -0.036540087312459946, -1.4171596765518188, 0.5066472887992859, -0.032174743711948395, -0.003724941285327077, 0.012967679649591446
741273, -0.08429514616727829, -1.0973408222198486, -1.7431381940841675, 0, 0, 0, 45922.0, 49508.0, 49965.0, 52948.0, 0.0, 0.0, 0.0, -0.03698459267616272, -1.4172167778015137, 0.5071275234222412, -0.03100806474685669, -0.0038783112540841103, 0.018653256818652153
741283, -0.030414996668696404, -1.0740973949432373, -1.7397620677947998, 0, 0, 0, 45485.0, 50991.0, 50428.0, 51160.0, 0.0, 0.0, 0.0, -0.03737281635403633, -1.4172688722610474, 0.5044109225273132, -0.02919783443212509, -0.004049916286021471, 0.003711576573550701
741293, -0.044044334441423416, -1.106360673904419, -1.7681739330291748, 0, 0, 0, 48819.0, 49093.0, 47394.0, 54029.0, 0.0, 0.0, 0.0, -0.03775252774357796, -1.4172446727752686, 0.5046510696411133, -0.027517948299646378, -0.003644214477390051, 0.007621457800269127
741304, -0.04097762703895569, -1.084336757659912, -1.7600117921829224, 0, 0, 0, 46915.0, 50603.0, 50209.0, 51562.0, 0.0, 0.0, 0.0, -0.03810568526387215, -1.4172714948654175, 0.5050948262214661, -0.025668667629361153, -0.0037360561545938253, 0.00829750020056963
741313, -0.04589837044477463, -1.026779294013977, -1.763930320739746, 0, 0, 0, 46431.0, 50224.0, 50111.0, 52588.0, 0.0, 0.0, 0.0, -0.03840825334191322, -1.4172985553741455, 0.5055396556854248, -0.02397896721959114, -0.0038115307688713074, 0.009396198205649853
741323, -0.07991592586040497, -0.9927209615707397, -1.7653074264526367, 0, 0, 0, 47558.0, 51527.0, 48458.0, 51489.0, 0.0, 0.0, 0.0, -0.03873990476131439, -1.4173147678375244, 0.5025890469551086, -0.022049233317375183, -0.003804982639849186, -0.006227805279195309
741333, -0.11288558691740036, -0.9707510471343994, -1.7531834840774536, 0, 0, 0, 47416.0, 49514.0, 50086.0, 53618.0, 0.0, 0.0, 0.0, -0.03876059129834175, -1.4172922372817993, 0.5027725696563721, -0.022105557844042778, -0.0037506907247006893, -0.005053933244198561
741343, -0.17051464319229126, -0.9878215789794922, -1.7342509031295776, 0, 0, 0, 50170.0, 45276.0, 48179.0, 55711.0, 0.0, 0.0, 0.0, -0.03921264037489891, -1.4173316955566406, 0.5031375288963318, -0.018856501206755638, -0.0034548738040030003, 0.004024835769087076
741353, -0.18202252686023712, -0.971167802810669, -1.7362511157989502, 0, 0, 0, 46838.0, 49512.0, 50790.0, 53181.0, 0.0, 0.0, 0.0, -0.03929290547966957, -1.4172471761703491, 0.5035308003425598, -0.019331226125359535, -0.0031403787434101105, 0.006556265987455845
741364, -0.17399609088897705, -0.9964798092842102, -1.713667392730713, 0, 0, 0, 51338.0, 48765.0, 46180.0, 53268.0, 0.0, 0.0, 0.0, -0.03966826573014259, -1.4172316789627075, 0.504169225692749, -0.016035720705986023, -0.0023538104724138975, 0.015229154378175735
741373, -0.18242569267749786, -1.0338282585144043, -1.7027595043182373, 0, 0, 0, 49842.0, 45352.0, 47019.0, 55910.0, 0.0, 0.0, 0.0, -0.040041305124759674, -1.41728675365448, 0.5019646883010864, -0.014790498651564121, -0.00217056623660028, 0.01027022022753954
741383, -0.21472863852977753, -1.0435199737548828, -1.6993920803070068, 0, 0, 0, 49916.0, 48672.0, 47489.0, 53952.0, 0.0, 0.0, 0.0, -0.04009927064180374, -1.417280912399292, 0.5021597743034363, -0.015029187314212322, -0.00227485247887671, 0.011530979536473751
741393, -0.18920859694480896, -1.0370012521743774, -1.6924728155136108, 0, 0, 0, 47402.0, 50529.0, 49751.0, 51799.0, 0.0, 0.0, 0.0, -0.040373582392930984, -1.4172016382217407, 0.502692461013794, -0.01364659983664751, -0.0016631209291517735, 0.017397141084074974
741403, -0.18920859694480896, -1.0370012521743774, -1.6924728155136108, 0, 0, 0, 51362.0, 48067.0, 45455.0, 53797.0, 0.0, 0.0, 0.0, -0.04064449295401573, -1.4171890020370483, 0.5033144354820251, -0.012371840886771679, -0.0013894283911213279, 0.024361660704016685
741414, -0.14303795993328094, -1.0049879550933838, -1.6811583042144775, 0, 0, 0, 48440.0, 48929.0, 47968.0, 52932.0, 0.0, 0.0, 0.0, -0.0408368855714798, -1.4171333312988281, 0.5021058320999146, -0.010524546727538109, -0.0008555258973501623, 0.019414784386754036
741423, -0.10433955490589142, -1.0088269710540771, -1.6796313524246216, 0, 0, 0, 50312.0, 47832.0, 46575.0, 53762.0, 0.0, 0.0, 0.0, -0.041015759110450745, -1.417103886604309, 0.5026828050613403, -0.008910530246794224, -0.0006165619124658406, 0.023936206474900246
