timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, stateROLL, statePITCH, stateYAW, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, laserHeight, flowX, flowY, ext_pos_X,ext_pos_Y,ext_pos_Z, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
308427, 2.60214900970459, -3.0912163257598877, -12.045262336730957, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 14.0, 0.0, 2.0, 0.0, 0.0, 0.0, -0.030040500685572624, -0.4194088876247406, 0.015546745620667934, 0.0534307137131691, -0.07525718212127686, 0.006934161763638258
308437, 2.6055283546447754, -3.1040501594543457, -12.040022850036621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 14.0, 0.0, -3.0, 0.0, 0.0, 0.0, -0.02974698878824711, -0.41959235072135925, 0.015590283088386059, 0.055228836834430695, -0.07526032626628876, 0.007168456446379423
308447, 2.6237921714782715, -3.079902410507202, -12.053691864013672, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 14.0, -2.0, 0.0, 0.0, 0.0, 0.0, -0.029867656528949738, -0.41922298073768616, 0.015704622492194176, 0.054070696234703064, -0.07305032759904861, 0.007823529653251171
308457, 2.6081151962280273, -3.077540159225464, -12.05908489227295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 14.0, 1.0, 3.0, 0.0, 0.0, 0.0, -0.030347824096679688, -0.4190678000450134, 0.01580866239964962, 0.05040978267788887, -0.07315661758184433, 0.00854095071554184
308467, 2.570882558822632, -3.1059536933898926, -12.053675651550293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.030326995998620987, -0.41922131180763245, 0.015802426263689995, 0.05179174616932869, -0.07417240738868713, 0.00856880471110344
308477, 2.5932247638702393, -3.0960099697113037, -12.047203063964844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 3.0, -5.0, 0.0, 0.0, 0.0, -0.029901307076215744, -0.41975095868110657, 0.016155565157532692, 0.05497027188539505, -0.07664583623409271, 0.010800829157233238
308487, 2.54067325592041, -3.1230502128601074, -12.043147087097168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, -1.0, 2.0, 0.0, 0.0, 0.0, -0.030232802033424377, -0.41943037509918213, 0.0162866972386837, 0.05223039165139198, -0.07506786286830902, 0.011314189061522484
308497, 2.542419195175171, -3.1371800899505615, -12.063779830932617, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, -1.0, 0.0, 0.0, 0.0, 0.0, -0.030333038419485092, -0.41913679242134094, 0.016412165015935898, 0.051615212112665176, -0.07283427566289902, 0.011715822853147984
308508, 2.555501699447632, -3.1134886741638184, -12.047626495361328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, -2.0, 3.0, 0.0, 0.0, 0.0, -0.030713962391018867, -0.4187455475330353, 0.016585474833846092, 0.04862845316529274, -0.07081909477710724, 0.012406607158482075
308517, 2.5943920612335205, -3.085015296936035, -12.051313400268555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 5.0, -3.0, 0.0, 0.0, 0.0, -0.03071628324687481, -0.41907039284706116, 0.01651240512728691, 0.04942354932427406, -0.07428229600191116, 0.01173813920468092
308527, 2.5345406532287598, -3.1236143112182617, -12.056601524353027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, -8.0, 8.0, 0.0, 0.0, 0.0, -0.03071628324687481, -0.41907039284706116, 0.01651240512728691, 0.04942354932427406, -0.07428229600191116, 0.01173813920468092
308537, 2.5393309593200684, -3.113964557647705, -12.035965919494629, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 4.0, -7.0, 0.0, 0.0, 0.0, -0.030984938144683838, -0.4183724820613861, 0.016897479072213173, 0.047420211136341095, -0.07016026973724365, 0.013133899308741093
308547, 2.5298068523406982, -3.1113617420196533, -12.05245304107666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 0.0, -1.0, 0.0, 0.0, 0.0, -0.03086676262319088, -0.41851454973220825, 0.017016153782606125, 0.04800532013177872, -0.06969641894102097, 0.013484138995409012
308558, 2.4827511310577393, -3.1307690143585205, -12.065275192260742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 1.0, 0.0, 0.0, 0.0, 0.0, -0.03103554993867874, -0.41848814487457275, 0.017053749412298203, 0.04727226495742798, -0.07053136080503464, 0.013272237963974476
308568, 2.5220084190368652, -3.1367685794830322, -12.058014869689941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 19.0, -5.0, -9.0, 0.0, 0.0, 0.0, -0.030258333310484886, -0.41809985041618347, 0.01768285222351551, 0.05355800315737724, -0.06610571593046188, 0.016919614747166634
308577, 2.548677444458008, -3.102861166000366, -12.057162284851074, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 19.0, -5.0, 13.0, 0.0, 0.0, 0.0, -0.03139195591211319, -0.4172922670841217, 0.018001042306423187, 0.042939480394124985, -0.0623515248298645, 0.01800217293202877
308587, 2.602670192718506, -3.09047794342041, -12.052592277526855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 19.0, -1.0, 2.0, 0.0, 0.0, 0.0, -0.031542837619781494, -0.4173082411289215, 0.018169870600104332, 0.04125857725739479, -0.06256226450204849, 0.01818087510764599
308598, 2.5995736122131348, -3.0810282230377197, -12.054839134216309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 19.0, 0.0, 4.0, 0.0, 0.0, 0.0, -0.0320148803293705, -0.4171373248100281, 0.018274104222655296, 0.03801896795630455, -0.0635073333978653, 0.01807650551199913
308608, 2.5818557739257812, -3.0985894203186035, -12.075603485107422, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 14.0, -3.0, -8.0, 0.0, 0.0, 0.0, -0.03135935962200165, -0.4169771373271942, 0.01828635111451149, 0.04368283972144127, -0.061505306512117386, 0.017614243552088737
308618, 2.52787709236145, -3.1011903285980225, -12.065096855163574, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 14.0, -1.0, 0.0, 0.0, 0.0, 0.0, -0.03148745000362396, -0.4166696071624756, 0.01700970157980919, 0.04346705228090286, -0.060163047164678574, 0.009613522328436375
308627, 2.5315465927124023, -3.1062357425689697, -12.071311950683594, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 14.0, 4.0, 5.0, 0.0, 0.0, 0.0, -0.03208915516734123, -0.41680318117141724, 0.017062468454241753, 0.03963996469974518, -0.0626097321510315, 0.00967844482511282
308637, 2.591684341430664, -3.1005382537841797, -12.105217933654785, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 14.0, 0.0, 3.0, 0.0, 0.0, 0.0, -0.03235326707363129, -0.416902095079422, 0.017168646678328514, 0.03743923828005791, -0.06347927451133728, 0.010082075372338295
308648, 2.566338300704956, -3.1005494594573975, -12.073616027832031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03237435966730118, -0.41716256737709045, 0.017127186059951782, 0.038484763354063034, -0.06668785959482193, 0.009776142425835133
308658, 2.5699994564056396, -3.0953969955444336, -12.070344924926758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 6.0, -11.0, 0.0, 0.0, 0.0, -0.03159768879413605, -0.4177783131599426, 0.016912322491407394, 0.04654650762677193, -0.07099393755197525, 0.008529013954102993
308667, 2.5076944828033447, -3.1204843521118164, -12.071191787719727, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, -6.0, 11.0, 0.0, 0.0, 0.0, -0.03257095441222191, -0.416967511177063, 0.01720508374273777, 0.03741578012704849, -0.066571906208992, 0.01012455578893423
308677, 2.289088487625122, -3.0983314514160156, -12.086196899414062, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 0.0, -3.0, 0.0, 0.0, 0.0, -0.032373830676078796, -0.4168326258659363, 0.01718822494149208, 0.0397242046892643, -0.06421908736228943, 0.009696842171251774
308687, 2.5070714950561523, -3.0764505863189697, -12.073822021484375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 0.0, 3.0, 0.0, 0.0, 0.0, -0.03275532275438309, -0.41670215129852295, 0.017234686762094498, 0.03690547123551369, -0.06442400068044662, 0.009864059276878834
308698, 2.5221736431121826, -3.1067135334014893, -12.074664115905762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 16.0, 0.0, -3.0, 0.0, 0.0, 0.0, -0.03247345983982086, -0.4169159233570099, 0.01726769283413887, 0.03971181809902191, -0.0650375485420227, 0.00998343713581562
308708, 2.5144879817962646, -3.114736318588257, -12.064911842346191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 16.0, 3.0, -5.0, 0.0, 0.0, 0.0, -0.0321091003715992, -0.41720083355903625, 0.01682647317647934, 0.043953582644462585, -0.06674101948738098, 0.007049254607409239
308717, 2.5215580463409424, -3.088693618774414, -12.051862716674805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 16.0, -4.0, 8.0, 0.0, 0.0, 0.0, -0.03281636908650398, -0.4166824519634247, 0.01702195219695568, 0.03707538917660713, -0.06405290216207504, 0.008145026862621307
308727, 2.528780221939087, -3.086249828338623, -12.064233779907227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 16.0, -2.0, -4.0, 0.0, 0.0, 0.0, -0.03238554298877716, -0.41672441363334656, 0.01707427389919758, 0.04048033431172371, -0.06282096356153488, 0.008593459613621235
