timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, otX, otY, otZ, laserFront
1568173, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154613.078125, 151319.125, 165091.34375, -0.04943585395812988, -0.9949493408203125, 0.006274357438087463, 117.0
1568183, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154603.0625, 151309.796875, 165086.796875, -0.04939424991607666, -0.9949989318847656, 0.006196364760398865, 117.0
1568193, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154598.625, 151317.25, 165091.34375, -0.04943126440048218, -0.9950523376464844, 0.006327308714389801, 117.0
1568203, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154608.078125, 151310.40625, 165082.75, -0.04939913749694824, -0.9950485229492188, 0.006182968616485596, 117.0
1568213, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154598.625, 151321.609375, 165088.828125, -0.0493660569190979, -0.9950065612792969, 0.006034284830093384, 117.0
1568223, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154606.140625, 151310.40625, 165081.765625, -0.049425482749938965, -0.9950084686279297, 0.006381310522556305, 117.0
1568233, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154606.140625, 151323.46875, 165086.3125, -0.04945582151412964, -0.9950542449951172, 0.006152451038360596, 117.0
1568243, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154603.0625, 151319.125, 165088.328125, -0.04941016435623169, -0.9950103759765625, 0.006363920867443085, 117.0
1568253, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154601.703125, 151316.640625, 165089.3125, -0.04939550161361694, -0.9950313568115234, 0.00640377402305603, 117.0
1568263, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154599.203125, 151309.1875, 165089.3125, -0.049355506896972656, -0.9949607849121094, 0.005964122712612152, 115.0
1568273, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154601.703125, 151314.765625, 165092.875, -0.049370765686035156, -0.995086669921875, 0.006461620330810547, 115.0
1568283, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154604.203125, 151314.15625, 165089.796875, -0.0493893027305603, -0.9950656890869141, 0.006232306361198425, 115.0
1568293, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154599.203125, 151317.25, 165091.34375, -0.04919677972793579, -0.9949855804443359, 0.0071168020367622375, 115.0
1568303, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154608.640625, 151314.765625, 165086.3125, -0.049432992935180664, -0.9949874877929688, 0.005969010293483734, 115.0
1568313, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154596.703125, 151309.796875, 165091.34375, -0.04952186346054077, -0.9950313568115234, 0.006448231637477875, 115.0
1568323, 0.0, 0.0, 62.83808135986328, 0.0, 0.0, 0.49285888671875, 154596.703125, 151309.796875, 165091.34375, -0.0493854284286499, -0.9949798583984375, 0.006031341850757599, 115.0
