timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw
43346, 0.0, 0.0, 82.900634765625, 0.0, 0.0, -0.665283203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01596778631210327, -0.736572265625, -0.002621494233608246, 0.6055858135223389
43356, 0.0, 0.0, 82.89519500732422, 0.0, 0.0, -0.543975830078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01606196165084839, -0.7364883422851562, -0.002786301076412201, 0.6070085763931274
43366, 0.0, 0.0, 82.89029693603516, 0.0, 0.0, -0.48980712890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015660524368286133, -0.7384958267211914, 0.018639609217643738, 0.606643557548523
43376, 0.0, 0.0, 82.88643646240234, 0.0, 0.0, -0.38604736328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015735775232315063, -0.7385578155517578, 0.018785640597343445, 0.6070106029510498
43386, 0.0, 0.0, 82.88296508789062, 0.0, 0.0, -0.347137451171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01566031575202942, -0.7385473251342773, 0.018679991364479065, 0.6072705984115601
43396, 0.0, 0.0, 82.88311767578125, 0.0, 0.0, 0.0152587890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01552775502204895, -0.7386722564697266, 0.018278583884239197, 0.6074539422988892
43406, 0.0, 0.0, 82.88325500488281, 0.0, 0.0, 0.01373291015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016080349683761597, -0.7365350723266602, -0.0027298331260681152, 0.607486367225647
43416, 0.0, 0.0, 82.88392639160156, 0.0, 0.0, 0.067138671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015972942113876343, -0.7365732192993164, -0.0025985166430473328, 0.6068148612976074
43426, 0.0, 0.0, 82.88453674316406, 0.0, 0.0, 0.06103515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015962451696395874, -0.7365913391113281, -0.00270041823387146, 0.6064922213554382
43436, 0.0, 0.0, 82.88016510009766, 0.0, 0.0, -0.437164306640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016080200672149658, -0.7365493774414062, -0.0026909485459327698, 0.6069648861885071
43446, 0.0, 0.0, 82.87622833251953, 0.0, 0.0, -0.3936767578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.016139328479766846, -0.7365951538085938, -0.0028213635087013245, 0.6069843769073486
43456, 0.0, 0.0, 82.88471221923828, 0.0, 0.0, 0.848388671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015958130359649658, -0.7366533279418945, -0.0026899054646492004, 0.6067960858345032
43466, 0.0, 0.0, 82.89234924316406, 0.0, 0.0, 0.763702392578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015579849481582642, -0.7385234832763672, 0.018507421016693115, 0.6055293679237366
43476, 0.0, 0.0, 82.89867401123047, 0.0, 0.0, 0.632476806640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015976697206497192, -0.7386341094970703, 0.017998069524765015, 0.6056677103042603
43486, 0.0, 0.0, 82.90436553955078, 0.0, 0.0, 0.56915283203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015619099140167236, -0.7384777069091797, 0.01886563003063202, 0.605780839920044
43496, 0.0, 0.0, 82.90511322021484, 0.0, 0.0, 0.07476806640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015654832124710083, -0.738530158996582, 0.01886013150215149, 0.6057410836219788
43506, 0.0, 0.0, 82.9057846069336, 0.0, 0.0, 0.067138671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01562938094139099, -0.7385749816894531, 0.0185537189245224, 0.6062079071998596
43516, 0.0, 0.0, 82.90857696533203, 0.0, 0.0, 0.27923583984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015599638223648071, -0.7385387420654297, 0.018803253769874573, 0.6065890789031982
43526, 0.0, 0.0, 82.91109466552734, 0.0, 0.0, 0.25177001953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015985190868377686, -0.7364349365234375, -0.002748332917690277, 0.6064209938049316
