timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ
126914, -0.0633048564195633, 7.884702682495117, -7.612463474273682, 0.589002788066864, 9.60427474975586, -6.776025295257568, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
126924, -0.05735226348042488, 7.981093883514404, -7.680365085601807, 0.5985698103904724, 9.662223815917969, -6.821135997772217, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
126934, -0.051303550601005554, 8.078064918518066, -7.74871826171875, 0.6082070469856262, 9.720170974731445, -6.866435527801514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
126944, -0.04515857249498367, 8.175616264343262, -7.8175249099731445, 0.617800772190094, 9.778328895568848, -6.911960601806641, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
126954, -0.03891759365797043, 8.273750305175781, -7.8867878913879395, 0.6273935437202454, 9.836469650268555, -6.9578351974487305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
126964, -0.03258008509874344, 8.372466087341309, -7.956510066986084, 0.6370826959609985, 9.894682884216309, -7.003856182098389, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
126974, -0.026144709438085556, 8.47176456451416, -8.026692390441895, 0.6469472646713257, 9.952960014343262, -7.050032138824463, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
126984, -0.01961015909910202, 8.571645736694336, -8.09733772277832, 0.6568987965583801, 10.011053085327148, -7.096501350402832, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
126994, -0.012976216152310371, 8.67210865020752, -8.168448448181152, 0.6668034791946411, 10.06922721862793, -7.1431474685668945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127004, -0.006243098061531782, 8.773153305053711, -8.240026473999023, 0.6767147183418274, 10.12747859954834, -7.190162181854248, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
