timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, laserFront
73762, 0.0, 0.0, 57.217323303222656, 0.0, 0.0, -0.787353515625, 155875.53125, 152674.9375, 166410.4375, 0.0, 0.0, 0.0, 0.0, 135.0
73772, 0.0, 0.0, 57.20750427246094, 0.0, 0.0, -0.981903076171875, 155875.53125, 152674.9375, 166410.4375, 0.0, 0.0, 0.0, 0.0, 135.0
73782, 0.0, 0.0, 57.198665618896484, 0.0, 0.0, -0.8838653564453125, 155880.53125, 152673.71875, 166415.46875, 0.0, 0.0, 0.0, 0.0, 135.0
73792, 0.0, 0.0, 57.18743133544922, 0.0, 0.0, -1.1234283447265625, 155865.5, 152669.34375, 166412.46875, 0.0, 0.0, 0.0, 0.0, 135.0
73802, 0.0, 0.0, 57.17731857299805, 0.0, 0.0, -1.0112762451171875, 155868.578125, 152676.8125, 166408.40625, 0.0, 0.0, 0.0, 0.0, 135.0
73812, 0.0, 0.0, 57.16548538208008, 0.0, 0.0, -1.183319091796875, 155874.953125, 152674.328125, 166412.953125, 0.0, 0.0, 0.0, 0.0, 135.0
73822, 0.0, 0.0, 57.15483474731445, 0.0, 0.0, -1.0650634765625, 155873.015625, 152668.078125, 166414.984375, 0.0, 0.0, 0.0, 0.0, 135.0
73832, 0.0, 0.0, 57.146888732910156, 0.0, 0.0, -0.7946014404296875, 155877.46875, 152678.6875, 166414.984375, 0.0, 0.0, 0.0, 0.0, 135.0
73842, 0.0, 0.0, 57.139739990234375, 0.0, 0.0, -0.714874267578125, 155873.015625, 152673.71875, 166409.953125, 0.0, 0.0, 0.0, 0.0, 135.0
73852, 0.0, 0.0, 57.14150619506836, 0.0, 0.0, 0.1766204833984375, 155873.59375, 152672.4375, 166412.953125, 0.0, 0.0, 0.0, 0.0, 135.0
73862, 0.0, 0.0, 57.143096923828125, 0.0, 0.0, 0.1590728759765625, 155881.90625, 152675.59375, 166414.984375, 0.0, 0.0, 0.0, 0.0, 121.0
73872, 0.0, 0.0, 57.14616775512695, 0.0, 0.0, 0.3070831298828125, 155865.5, 152674.9375, 166407.4375, 0.0, 0.0, 0.0, 0.0, 121.0
73882, 0.0, 0.0, 57.14893341064453, 0.0, 0.0, 0.2765655517578125, 155864.703125, 152669.953125, 166417.5, 0.0, 0.0, 0.0, 0.0, 121.0
73892, 0.0, 0.0, 57.1497802734375, 0.0, 0.0, 0.084686279296875, 155869.953125, 152674.328125, 166408.40625, 0.0, 0.0, 0.0, 0.0, 121.0
73902, 0.0, 0.0, 57.150543212890625, 0.0, 0.0, 0.0762939453125, 155868.015625, 152669.953125, 166420.5, 0.0, 0.0, 0.0, 0.0, 121.0
73912, 0.0, 0.0, 57.15177536010742, 0.0, 0.0, 0.1232147216796875, 155873.015625, 152667.46875, 166417.015625, 0.0, 0.0, 0.0, 0.0, 121.0
73922, 0.0, 0.0, 57.15288543701172, 0.0, 0.0, 0.1110076904296875, 155872.453125, 152674.328125, 166413.4375, 0.0, 0.0, 0.0, 0.0, 121.0
73932, 0.0, 0.0, 57.15279006958008, 0.0, 0.0, -0.0095367431640625, 155871.078125, 152679.296875, 166420.015625, 0.0, 0.0, 0.0, 0.0, 121.0
73942, 0.0, 0.0, 57.152706146240234, 0.0, 0.0, -0.008392333984375, 155869.140625, 152681.171875, 166410.921875, 0.0, 0.0, 0.0, 0.0, 121.0
73952, 0.0, 0.0, 57.15372085571289, 0.0, 0.0, 0.101470947265625, 155868.578125, 152679.90625, 166422.046875, 0.0, 0.0, 0.0, 0.0, 121.0
73962, 0.0, 0.0, 57.15463638305664, 0.0, 0.0, 0.091552734375, 155873.59375, 152667.46875, 166422.046875, 0.0, 0.0, 0.0, 0.0, 131.0
73972, 0.0, 0.0, 57.15436553955078, 0.0, 0.0, -0.0270843505859375, 155868.578125, 152673.046875, 166410.4375, 0.0, 0.0, 0.0, 0.0, 131.0
73982, 0.0, 0.0, 57.15412139892578, 0.0, 0.0, -0.0244140625, 155875.53125, 152673.109375, 166414.984375, 0.0, 0.0, 0.0, 0.0, 131.0
