timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, laserHeight
266966, -0.042930055409669876, -1.2965668439865112, 0.008810620754957199, 0.04662095755338669, 0.003160702297464013, -0.01178027968853712, 0.0, 0.0, 0.0, 42941.0, 40663.0, 39122.0, 42992.0, -0.047660112380981445, -1.2965965270996094, 0.009209781885147095, 0.0
266975, -0.042878806591033936, -1.2965844869613647, 0.008637954480946064, 0.04653586074709892, 0.002847632160410285, -0.01773468591272831, 0.0, 0.0, 0.0, 41566.0, 40982.0, 40798.0, 43092.0, -0.04794120788574219, -1.2967948913574219, 0.008208900690078735, 0.0
266985, -0.04283055663108826, -1.296523928642273, 0.008450943045318127, 0.04646599292755127, 0.0031862712930887938, -0.023608829826116562, 0.0, 0.0, 0.0, 44272.0, 39784.0, 37492.0, 45237.0, -0.047706425189971924, -1.2964897155761719, 0.00854213535785675, 0.0
266995, -0.04284881055355072, -1.2965501546859741, 0.008150468580424786, 0.045972712337970734, 0.0029343129135668278, -0.029646415263414383, 0.0, 0.0, 0.0, 44972.0, 38891.0, 38227.0, 45592.0, -0.04800492525100708, -1.2967491149902344, 0.008213967084884644, 0.0
267006, -0.04257924482226372, -1.2965139150619507, 0.007904388941824436, 0.04672755300998688, 0.0031602338422089815, -0.03279763087630272, 0.0, 0.0, 0.0, 42763.0, 39079.0, 41641.0, 45825.0, -0.047276437282562256, -1.2967491149902344, 0.009166747331619263, 0.0
267016, -0.04250256344676018, -1.2965089082717896, 0.007611547131091356, 0.04677739366889, 0.003030360210686922, -0.030375096946954727, 0.0, 0.0, 0.0, 43388.0, 42721.0, 41731.0, 42915.0, -0.047864437103271484, -1.2967357635498047, 0.00783662497997284, 0.0
267025, -0.04247210547327995, -1.2964701652526855, 0.007461701054126024, 0.046801578253507614, 0.0032787430100142956, -0.027750683948397636, 0.0, 0.0, 0.0, 46231.0, 39634.0, 38880.0, 45676.0, -0.04749417304992676, -1.2966632843017578, 0.009478956460952759, 0.0
267035, -0.04242446646094322, -1.2965061664581299, 0.007246306631714106, 0.04672343283891678, 0.00301511213183403, -0.023382799699902534, 0.0, 0.0, 0.0, 46112.0, 39395.0, 39131.0, 45966.0, -0.047897279262542725, -1.2967681884765625, 0.00813533365726471, 0.0
267045, -0.0424167700111866, -1.2965208292007446, 0.007187722250819206, 0.046483948826789856, 0.0029578821267932653, -0.017466682940721512, 0.0, 0.0, 0.0, 44062.0, 39856.0, 40931.0, 46097.0, -0.047710537910461426, -1.2968006134033203, 0.00839051604270935, 0.0
267056, -0.04219934344291687, -1.2965154647827148, 0.007110785227268934, 0.047016192227602005, 0.0028979755006730556, -0.01209659967571497, 0.0, 0.0, 0.0, 44978.0, 39178.0, 39683.0, 46487.0, -0.04773074388504028, -1.2967720031738281, 0.008424416184425354, 0.0
267065, -0.04215973988175392, -1.2964965105056763, 0.007171102799475193, 0.04680001363158226, 0.0029903175309300423, -0.011042725294828415, 0.0, 0.0, 0.0, 43746.0, 39782.0, 41072.0, 45953.0, -0.047167837619781494, -1.2966251373291016, 0.009482517838478088, 0.0
267075, -0.04212905839085579, -1.2964872121810913, 0.007266846485435963, 0.046559035778045654, 0.003009997308254242, -0.009424176067113876, 0.0, 0.0, 0.0, 45561.0, 40493.0, 38041.0, 46105.0, -0.04701107740402222, -1.2966690063476562, 0.009469062089920044, 0.0
