timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, pitch
153040, 1.7730798721313477, -3.3358876705169678, 0.003056977642700076, -0.06307242810726166, -0.006919275503605604, 0.0025737842079252005, 118724.921875, 148767.734375, 89926.8515625, 120196.9453125, 139875.3125, 98388.2734375, 0.0, 0.0, 0.0, 0.0, 1.78036367893219, -3.33489727973938, -0.011130787432193756, 84.24600219726562, 3.992676019668579
153061, 1.7728668451309204, -3.3358123302459717, 0.0015477549750357866, -0.0635753944516182, -0.006221914663910866, -0.007005964405834675, 118722.6171875, 148767.28125, 89934.984375, 120188.171875, 139874.296875, 98396.390625, 0.0, 0.0, 0.0, 0.0, 1.7802520990371704, -3.3348467350006104, -0.011072150431573391, 84.28919219970703, 3.97418212890625
153079, 1.7721132040023804, -3.3362863063812256, 0.003657073713839054, -0.06999922543764114, -0.010376233607530594, 0.00611469941213727, 118727.109375, 148773.734375, 89931.09375, 120184.4296875, 139873.046875, 98389.0234375, 0.0, 0.0, 0.0, 0.0, 1.7795295715332031, -3.3348348140716553, -0.009870425797998905, 84.21674346923828, 3.987257719039917
153099, 1.7728790044784546, -3.3365464210510254, 0.0026623341254889965, -0.06437692791223526, -0.012843198142945766, -0.0006711878813803196, 118724.1171875, 148771.890625, 89936.1328125, 120194.1015625, 139866.203125, 98394.359375, 0.0, 0.0, 0.0, 0.0, 1.7806428670883179, -3.335099458694458, -0.01119595393538475, 84.23319244384766, 3.96112060546875
153119, 1.772594690322876, -3.3362386226654053, 0.004341932479292154, -0.0668087750673294, -0.009752018377184868, 0.010481312870979309, 118713.171875, 148769.578125, 89936.9296875, 120185.9765625, 139867.984375, 98391.5703125, 0.0, 0.0, 0.0, 0.0, 1.7803016901016235, -3.33486270904541, -0.011090021580457687, 84.24361419677734, 3.9825315475463867
153139, 1.7731224298477173, -3.335740327835083, 0.003082892159000039, -0.0625724121928215, -0.005320244934409857, 0.0012047949712723494, 118717.546875, 148776.5, 89933.0390625, 120190.3671875, 139864.4375, 98391.5703125, 0.0, 0.0, 0.0, 0.0, 1.7803453207015991, -3.3349010944366455, -0.011122478172183037, 84.28125762939453, 3.9504194259643555
153160, 1.7729408740997314, -3.33642578125, 0.004595384933054447, -0.0632060170173645, -0.011576799675822258, 0.010771546512842178, 118716.0546875, 148780.65625, 89933.8359375, 120185.3203125, 139871.265625, 98397.6640625, 0.0, 0.0, 0.0, 0.0, 1.779528021812439, -3.3348138332366943, -0.00982434768229723, 84.29766845703125, 3.9459335803985596
153179, 1.7733206748962402, -3.3360836505889893, 0.0033294539898633957, -0.06035945191979408, -0.008462756872177124, 0.0015839964617043734, 118721.9296875, 148770.046875, 89932.6875, 120185.3203125, 139867.984375, 98390.296875, 0.0, 0.0, 0.0, 0.0, 1.7801384925842285, -3.3349075317382812, -0.010425036773085594, 84.26683044433594, 3.9671120643615723
153199, 1.7731709480285645, -3.3362369537353516, 0.005019132513552904, -0.06087358668446541, -0.009679610840976238, 0.012324851006269455, 118716.859375, 148778.34375, 89935.78125, 120188.171875, 139874.296875, 98389.78125, 0.0, 0.0, 0.0, 0.0, 1.7803454399108887, -3.334865093231201, -0.01103847287595272, 84.26871490478516, 3.992800235748291
153219, 1.7729052305221558, -3.3363912105560303, 0.0040700724348425865, -0.06266415864229202, -0.010917805135250092, 0.004859467968344688, 118720.4296875, 148770.5, 89938.875, 120185.3203125, 139870.25, 98394.359375, 0.0, 0.0, 0.0, 0.0, 1.7806503772735596, -3.335130214691162, -0.011271161027252674, 84.23336791992188, 3.987344741821289
