timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, yaw, pitch, laserFront
513754, 0.05867931991815567, -0.27796581387519836, 1.3627675771713257, 0.20385593175888062, -0.00939108058810234, -0.02010204643011093, 78186.859375, 107998.5078125, 77048.6171875, 45326.8203125, 125166.5, 124732.640625, 43827.0, 46925.0, 43810.0, 50441.0, -1.63584303855896, -1.608566403388977, 1111.0
513772, 0.06269089877605438, -0.27824434638023376, 1.3623074293136597, 0.20835892856121063, -0.009334392845630646, -0.018649309873580933, 78186.859375, 107991.5390625, 77053.7734375, 45326.50390625, 125152.2109375, 124736.4375, 44902.0, 47247.0, 42066.0, 50500.0, -1.6111304759979248, -1.4144819974899292, 1111.0
513792, 0.06678017228841782, -0.2785526216030121, 1.361896276473999, 0.2120942622423172, -0.009351203218102455, -0.015784475952386856, 78181.4921875, 107997.7578125, 77042.9765625, 45326.8203125, 125163.3515625, 124724.390625, 43895.0, 47172.0, 43745.0, 50027.0, -1.5859044790267944, -1.1856707334518433, 1111.0
513812, 0.07087209075689316, -0.2788512408733368, 1.3615399599075317, 0.21468845009803772, -0.00944431684911251, -0.01608569175004959, 78187.0234375, 107999.25, 77051.1953125, 45326.1875, 125173.84375, 124734.8671875, 43348.0, 46969.0, 44437.0, 50158.0, -1.559744119644165, -0.9361098408699036, 1096.0
513832, 0.07495298981666565, -0.2791706323623657, 1.3611525297164917, 0.2161305993795395, -0.009468154050409794, -0.015951795503497124, 78192.21875, 107992.90625, 77046.84375, 45325.8671875, 125192.59375, 124731.0703125, 44066.0, 47036.0, 43560.0, 50009.0, -1.5301274061203003, -0.6615667343139648, 1096.0
513853, 0.07696206867694855, -0.2793697714805603, 1.360943078994751, 0.21632122993469238, -0.009507576003670692, -0.014711233787238598, 78185.0703125, 107995.0234375, 77043.140625, 45326.8203125, 125176.7265625, 124733.953125, 43809.0, 48018.0, 43980.0, 49238.0, -1.5037142038345337, -0.43067696690559387, 1096.0
513872, 0.08315294235944748, -0.27980273962020874, 1.360478401184082, 0.21661512553691864, -0.009423840790987015, -0.013219074346125126, 78187.5, 107998.5078125, 77044.109375, 45326.1875, 125160.46875, 124727.2734375, 43998.0, 47515.0, 43836.0, 49531.0, -1.4700613021850586, -0.24323908984661102, 1080.0
513893, 0.08511316776275635, -0.28001511096954346, 1.3603276014328003, 0.21596108376979828, -0.009536946192383766, -0.013782400637865067, 78196.609375, 107990.796875, 77042.3359375, 45326.50390625, 125164.9296875, 124736.1796875, 44319.0, 47354.0, 43646.0, 49279.0, -1.4315284490585327, -0.10283231735229492, 1080.0
513912, 0.09119143337011337, -0.28045564889907837, 1.3598949909210205, 0.2144882082939148, -0.00949624739587307, -0.011199408210814, 78187.6640625, 107997.8828125, 77037.984375, 45326.50390625, 125167.8125, 124742.203125, 44302.0, 47141.0, 42917.0, 50111.0, -1.3899606466293335, 9.104767377721146e-05, 1080.0
513932, 0.09306619316339493, -0.2806781232357025, 1.3597561120986938, 0.213211327791214, -0.009605484083294868, -0.01126768160611391, 78190.265625, 108002.109375, 77052.1640625, 45326.50390625, 125177.6484375, 124739.3203125, 44921.0, 47111.0, 43003.0, 49384.0, -1.3477283716201782, 0.06418870389461517, 1068.0
513953, 0.09724000096321106, -0.2811197340488434, 1.3594902753829956, 0.21157719194889069, -0.009972520172595978, -0.013331053778529167, 78193.84375, 108003.484375, 77040.3984375, 45327.13671875, 125161.125, 124738.40625, 43764.0, 46725.0, 43502.0, 50302.0, -1.3086777925491333, 0.0968284085392952, 1068.0
513972, 0.10117989778518677, -0.2814602553844452, 1.3592400550842285, 0.209929421544075, -0.010069573298096657, -0.014192442409694195, 78191.2421875, 108007.7109375, 77043.3046875, 45326.1875, 125165.5859375, 124743.515625, 44225.0, 47489.0, 43783.0, 49196.0, -1.2731190919876099, 0.12337849289178848, 1068.0
513993, 0.10527889430522919, -0.2818138897418976, 1.3589798212051392, 0.20809686183929443, -0.010100109502673149, -0.012929096817970276, 78190.09375, 108000.0, 77025.4140625, 45325.8671875, 125180.53125, 124745.7421875, 43757.0, 47683.0, 43605.0, 49473.0, -1.2345671653747559, 0.1684310883283615, 1060.0
514012, 0.10910021513700485, -0.28220438957214355, 1.3587403297424316, 0.20602530241012573, -0.010215597227215767, -0.013590159825980663, 78189.2890625, 108003.484375, 77031.6953125, 45326.1875, 125184.328125, 124743.515625, 44044.0, 47183.0, 43484.0, 50019.0, -1.1991525888442993, 0.21083521842956543, 1060.0
514032, 0.11284331232309341, -0.2825620174407959, 1.3585402965545654, 0.20367266237735748, -0.01027677208185196, -0.012222051620483398, 78196.609375, 107997.8828125, 77033.46875, 45326.1875, 125190.1015625, 124734.609375, 44382.0, 46818.0, 43160.0, 50321.0, -1.1596437692642212, 0.2506820261478424, 1048.0
514054, 0.11672139912843704, -0.2829992175102234, 1.3583959341049194, 0.20108164846897125, -0.010425221174955368, -0.009316503070294857, 78199.203125, 108000.6171875, 77027.1875, 45326.8203125, 125193.25, 124750.453125, 44696.0, 46403.0, 42734.0, 50532.0, -1.122610092163086, 0.2680881917476654, 1048.0
514072, 0.12039877474308014, -0.2834235727787018, 1.3582202196121216, 0.19871734082698822, -0.010551754385232925, -0.01031902339309454, 78199.203125, 107999.25, 77028.15625, 45326.1875, 125200.5859375, 124745.7421875, 44240.0, 46470.0, 43196.0, 50473.0, -1.0820212364196777, 0.2608892619609833, 1048.0
514092, 0.12443980574607849, -0.28388065099716187, 1.3580435514450073, 0.1963539719581604, -0.010759523138403893, -0.010307536460459232, 78197.5859375, 108010.5703125, 77023.640625, 45325.8671875, 125177.3828125, 124752.421875, 44376.0, 46511.0, 43305.0, 50254.0, -1.060431957244873, 0.25334084033966064, 1035.0
