timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, whiskerP1_2, whiskerP2_2, laserFront
109961, 0.44463786482810974, 0.015919964760541916, 0.2637433707714081, 0.1849079132080078, -0.006134931463748217, 0.03194732591509819, 158319.125, 119349.28125, 158426.53125, 144494.28125, 132449.390625, 153273.078125, 45447.0, 37241.0, 34691.0, 47530.0, 0.10105207562446594, -0.4177733063697815, 0, 0, 78.0
109981, 0.45050695538520813, 0.015191575512290001, 0.2643161416053772, 0.1918584108352661, -0.007972495630383492, 0.02795856073498726, 158321.078125, 119344.0546875, 158424.578125, 144504.203125, 132458.296875, 153274.265625, 44511.0, 38775.0, 36460.0, 46685.0, 0.08247615396976471, -0.45203620195388794, 0, 0, 78.0
110001, 0.4530254900455475, 0.015144308097660542, 0.2641521692276001, 0.18986135721206665, -0.007991272956132889, 0.0206444151699543, 158319.125, 119348.5, 158428.484375, 144499.890625, 132464.796875, 153274.265625, 43961.0, 39816.0, 37414.0, 45911.0, 0.08297793567180634, -0.48693639039993286, 0, 0, 78.0
110021, 0.45614704489707947, 0.01516677439212799, 0.26456037163734436, 0.18938468396663666, -0.007857208140194416, 0.01767314039170742, 158315.21875, 119344.0546875, 158422.625, 144502.375, 132459.046875, 153289.25, 41241.0, 42742.0, 40726.0, 43913.0, 0.09354344755411148, -0.4299042522907257, 0, 0, 79.0
110041, 0.4592016637325287, 0.015110724605619907, 0.2650316059589386, 0.1885584592819214, -0.007854187861084938, 0.017078053206205368, 158317.171875, 119346.28125, 158420.671875, 144511.640625, 132463.875, 153286.75, 39880.0, 44222.0, 42212.0, 42650.0, 0.07588739693164825, -0.3736463785171509, 0, 0, 79.0
110061, 0.4646837115287781, 0.015086730942130089, 0.2653462588787079, 0.1939230114221573, -0.007733031176030636, 0.015496552921831608, 158317.171875, 119344.7734375, 158418.71875, 144510.453125, 132460.53125, 153294.84375, 37725.0, 45547.0, 44220.0, 41208.0, 0.06757661700248718, -0.31303635239601135, 0, 0, 79.0
110081, 0.4697411358356476, 0.014827366918325424, 0.2653775215148926, 0.197994664311409, -0.008131392300128937, 0.014027285389602184, 158317.171875, 119353.671875, 158424.578125, 144518.421875, 132471.125, 153294.84375, 36969.0, 46191.0, 44767.0, 40537.0, 0.04407436400651932, -0.30104291439056396, 0, 0, 81.0
110101, 0.47276315093040466, 0.01475907675921917, 0.26565468311309814, 0.19669833779335022, -0.008034731261432171, 0.012972751632332802, 158317.171875, 119348.5, 158424.578125, 144515.40625, 132478.359375, 153297.328125, 36549.0, 46115.0, 45146.0, 40675.0, 0.03479648008942604, -0.302123099565506, 0, 0, 81.0
110121, 0.47644689679145813, 0.014845204539597034, 0.2659165561199188, 0.19704996049404144, -0.007539871148765087, 0.01335084717720747, 158321.078125, 119347.78125, 158424.578125, 144525.96875, 132470.203125, 153295.421875, 36158.0, 45412.0, 45344.0, 41687.0, 0.03649710863828659, -0.26054108142852783, 0, 0, 81.0
110141, 0.4812077581882477, 0.013693051412701607, 0.26488950848579407, 0.20017778873443604, -0.01013152115046978, 0.005915636196732521, 158317.171875, 119348.5, 158420.671875, 144530.921875, 132479.109375, 153303.515625, 37840.0, 44089.0, 43998.0, 43174.0, 0.008335352875292301, -0.24638353288173676, 0, 0, 80.0
110161, 0.48364368081092834, 0.013710137456655502, 0.2650226354598999, 0.1971479207277298, -0.009583575651049614, 0.007039998192340136, 158317.171875, 119349.2265625, 158422.625, 144528.453125, 132483.9375, 153307.921875, 39651.0, 43254.0, 43011.0, 44117.0, -0.0071631986647844315, -0.235601544380188, 0, 0, 80.0
110181, 0.48794177174568176, 0.013787059113383293, 0.26595258712768555, 0.19883884489536285, -0.008867974393069744, 0.010039350017905235, 158315.21875, 119352.953125, 158422.625, 144530.921875, 132491.921875, 153304.09375, 42704.0, 40224.0, 40040.0, 46808.0, -0.014512148685753345, -0.19460543990135193, 0, 0, 80.0
110201, 0.49104049801826477, 0.013720336370170116, 0.2661648690700531, 0.1973230391740799, -0.008480465970933437, 0.012015171349048615, 158313.265625, 119345.5, 158418.71875, 144528.453125, 132496.015625, 153311.0, 43879.0, 39501.0, 38454.0, 47248.0, -0.040908340364694595, -0.1863613873720169, 0, 0, 80.0
110221, 0.49618616700172424, 0.013719729147851467, 0.26667821407318115, 0.20086868107318878, -0.007921828888356686, 0.013218375854194164, 158315.21875, 119349.9453125, 158418.71875, 144533.40625, 132488.59375, 153311.59375, 45084.0, 37469.0, 37194.0, 48310.0, -0.04319383576512337, -0.1591283529996872, 0, 0, 80.0
110241, 0.4988097846508026, 0.013578626327216625, 0.2669626474380493, 0.19787055253982544, -0.0076700663194060326, 0.014598846435546875, 158315.21875, 119349.9453125, 158420.671875, 144535.890625, 132486.171875, 153321.59375, 46672.0, 36983.0, 34567.0, 48709.0, -0.06540413945913315, -0.1714726984500885, 0, 0, 80.0
110261, 0.501033365726471, 0.013406089507043362, 0.2671141028404236, 0.1987510323524475, -0.007814536802470684, 0.01637730747461319, 158315.21875, 119356.625, 158416.75, 144539.015625, 132495.09375, 153319.671875, 45649.0, 38233.0, 36150.0, 47789.0, -0.05932343751192093, -0.15306740999221802, 0, 0, 81.0
110281, 0.5068830251693726, 0.012674162164330482, 0.26613613963127136, 0.19894282519817352, -0.008819950744509697, 0.007329038809984922, 158315.21875, 119352.171875, 158420.671875, 144544.609375, 132492.671875, 153327.171875, 45729.0, 38565.0, 35991.0, 47495.0, -0.05672386288642883, -0.1954616755247116, 0, 0, 81.0
110301, 0.511557400226593, 0.013299665413796902, 0.2663087248802185, 0.20110554993152618, -0.00662173330783844, 0.009111175313591957, 158315.21875, 119356.625, 158422.625, 144557.0, 132501.40625, 153334.078125, 44021.0, 40254.0, 38446.0, 46762.0, -0.05489480122923851, -0.17494647204875946, 0, 0, 81.0
110321, 0.515461802482605, 0.013272208161652088, 0.2663635313510895, 0.20133328437805176, -0.006102253682911396, 0.007559428457170725, 158315.21875, 119358.8515625, 158420.671875, 144547.734375, 132510.3125, 153331.578125, 43035.0, 41981.0, 39533.0, 45311.0, -0.07212100923061371, -0.1819441020488739, 0, 0, 82.0
110341, 0.5173797607421875, 0.01326330378651619, 0.26644980907440186, 0.20139765739440918, -0.005707874428480864, 0.00872393511235714, 158311.3125, 119353.6171875, 158420.671875, 144555.171875, 132507.90625, 153339.671875, 40510.0, 43297.0, 42267.0, 44101.0, -0.07809631526470184, -0.17665691673755646, 0, 0, 82.0
