timestamp,whisker1_1,whisker2_2
1714396625.9911072,[31.81485112],[25.53676988]
1714396626.001402,[31.81485112],[25.53676988]
1714396626.0116878,[33.34459927],[26.95673958]
1714396626.0219796,[33.34459927],[26.95673958]
1714396626.0322974,[34.76599534],[28.90700814]
1714396626.0425746,[35.97785742],[30.73023942]
1714396626.0527537,[35.97785742],[30.73023942]
1714396626.063021,[37.36240754],[32.62046985]
1714396626.0732107,[37.36240754],[32.62046985]
1714396626.08352,[37.36240754],[32.62046985]
1714396626.0939088,[38.42730071],[35.07449216]
1714396626.1041856,[39.83514692],[37.55681622]
1714396626.1146653,[39.83514692],[37.55681622]
1714396626.124929,[41.32329535],[40.87566601]
1714396626.1352222,[41.32329535],[40.87566601]
1714396626.1455116,[42.38815598],[43.74163397]
1714396626.1557944,[42.38815598],[43.74163397]
1714396626.1660738,[43.86042415],[46.05871647]
1714396626.1763415,[43.86042415],[46.05871647]
1714396626.1866071,[44.99829556],[48.44747785]
1714396626.1969278,[44.99829556],[48.44747785]
1714396626.2072082,[45.97388648],[51.54919488]
1714396626.217611,[45.97388648],[51.54919488]
1714396626.2278976,[47.23078981],[54.84675635]
1714396626.23817,[47.23078981],[54.84675635]
1714396626.2484422,[48.42266468],[57.50234744]
1714396626.2587197,[48.42266468],[57.50234744]
1714396626.2689874,[49.48811045],[60.36397274]
1714396626.2793965,[49.48811045],[60.36397274]
1714396626.2896755,[50.0581883],[63.40626078]
1714396626.2999713,[50.0581883],[63.40626078]
1714396626.3102374,[50.77251986],[65.91973908]
1714396626.320523,[50.77251986],[65.91973908]
1714396626.3308299,[51.68170819],[67.76348235]
1714396626.3409991,[51.68170819],[67.76348235]
1714396626.3512714,[52.20182964],[69.51740871]
1714396626.3615584,[52.20182964],[69.51740871]
1714396626.3718305,[52.73631092],[70.84714613]
1714396626.3820982,[52.73631092],[70.84714613]
1714396626.3923721,[52.81129773],[71.99823489]
1714396626.4030967,[52.56799005],[73.22522206]
1714396626.41337,[52.56799005],[73.22522206]
1714396626.423645,[52.69405058],[74.48250681]
